climate,country,m_c,switch_contraction,contraction_lo,contraction_hi,switch_transfer,transfer_lo,transfer_hi,ratio_median,ratio_lo,ratio_hi,p_ratio_gt1
baseline,Malawi,19.123497009277344,0.030873051844537258,0.028123151510953903,0.033237822353839874,0.020547371357679367,0.018900716677308083,0.022219635546207428,1.5074096981705494,1.4397257299938762,1.5877339816035878,1.0
baseline,Ethiopia,19.856468200683594,0.07531179487705231,0.07377012073993683,0.07678936421871185,0.0551731251180172,0.054546453058719635,0.056061383336782455,1.363274941805487,1.3322205977280006,1.388650206608572,1.0
baseline,Uganda,25.459810256958008,0.08598485216498375,0.08421596884727478,0.08800416439771652,0.049803802743554115,0.04915042221546173,0.0504952073097229,1.7269735131571173,1.70566489038848,1.7598192279175078,1.0
baseline,Tanzania,26.026512145996094,0.10896280407905579,0.10563098639249802,0.11286409944295883,0.05305510573089123,0.05143554508686066,0.05467507988214493,2.051905051499366,2.031022292743839,2.0716076046800462,1.0
baseline,Nigeria,102.73678588867188,0.0690670795738697,0.06639716029167175,0.07130330801010132,0.08443824201822281,0.08314086496829987,0.08590377867221832,0.8185085577327701,0.7936059742667527,0.8434311154447766,0.0
baseline,Mali,129.95687866210938,0.013379247859120369,0.011913466267287731,0.015438387170433998,0.05179264768958092,0.05016741901636124,0.05310775339603424,0.2588698783762169,0.23145918716872976,0.30192051471918885,0.0
ssp245,Malawi,19.123497009277344,0.041116757318377495,0.03790440410375595,0.043841589242219925,0.02143311593681574,0.01987938955426216,0.023170318454504013,1.9223197832777577,1.8188856657921864,2.0445300465358947,1.0
ssp245,Ethiopia,19.856468200683594,0.13570225983858109,0.13347062468528748,0.1380678117275238,0.06686584278941154,0.06593043357133865,0.0677327960729599,2.029254198702885,2.006132489467171,2.052006278655783,1.0
ssp245,Uganda,25.459810256958008,0.1316470503807068,0.12919791042804718,0.134557843208313,0.06334875896573067,0.06244032084941864,0.06429369747638702,2.079414790258794,2.060587035953169,2.1070668126593413,1.0
ssp245,Tanzania,26.026512145996094,0.15462882816791534,0.14966315031051636,0.1599731743335724,0.06089596450328827,0.05893765017390251,0.06281348317861557,2.536026377957577,2.516435170302887,2.552063784964594,1.0
ssp245,Nigeria,102.73678588867188,0.11036416888237,0.10735580325126648,0.11432387679815292,0.09520521387457848,0.09353624284267426,0.09700358659029007,1.1608424147201237,1.131790541008224,1.1852424232593866,1.0
ssp245,Mali,129.95687866210938,0.028142313472926617,0.025853632017970085,0.03090301714837551,0.06803707778453827,0.06613445281982422,0.06974820047616959,0.4121351277767187,0.38291657214198926,0.45911668534784034,0.0
ssp585,Malawi,19.123497009277344,0.045017560943961143,0.04152432829141617,0.04802120849490166,0.022916289046406746,0.02131587639451027,0.024825001135468483,1.9674653269020643,1.8776614280817798,2.07323106909439,1.0
ssp585,Ethiopia,19.856468200683594,0.12736117094755173,0.12514960765838623,0.12961441278457642,0.06440774723887444,0.06349916756153107,0.0652698427438736,1.9766086142363295,1.9506022805431693,1.998499480410863,1.0
ssp585,Uganda,25.459810256958008,0.12627623230218887,0.12392302602529526,0.129182368516922,0.06124437227845192,0.060385990887880325,0.062183983623981476,2.062376108687322,2.0429634192524233,2.09034905563628,1.0
ssp585,Tanzania,26.026512145996094,0.15445198863744736,0.1500862091779709,0.1603921353816986,0.06000543385744095,0.058055438101291656,0.06200334429740906,2.5700849221983644,2.5473768841063347,2.5911150557522205,1.0
ssp585,Nigeria,102.73678588867188,0.1129932664334774,0.10987188667058945,0.11702582240104675,0.098084457218647,0.0962369367480278,0.09994997829198837,1.153631990009404,1.12756365416278,1.1807021354972762,1.0
ssp585,Mali,129.95687866210938,0.02169855870306492,0.019908223301172256,0.024239230901002884,0.06508395820856094,0.06298227608203888,0.06662986427545547,0.33238637571900254,0.3071665643416586,0.3760537881427664,0.0
