climate,policy,country,metric,median,hpdi_lo,hpdi_hi,n_draws,share_finite
baseline,both,Ethiopia,ce_rho1.5,41.98556709289551,41.806373596191406,42.140079498291016,200.0,1.0
baseline,both,Ethiopia,ce_rho2.5,31.930591583251953,31.777965545654297,32.0655632019043,200.0,1.0
baseline,both,Ethiopia,ce_rho3.5,25.49913787841797,25.38931655883789,25.634170532226562,200.0,1.0
baseline,both,Ethiopia,cost,0.9719924926757812,0.9719924926757812,0.9719924926757812,200.0,1.0
baseline,both,Ethiopia,cost_behav,1.9989550709724426,1.9912134408950806,2.006938934326172,200.0,1.0
baseline,both,Ethiopia,cv_log,1.2135944962501526,1.131596565246582,1.2631571292877197,200.0,1.0
baseline,both,Ethiopia,cv_pct,2.3655606508255005,2.100602865219116,2.536569356918335,200.0,1.0
baseline,both,Ethiopia,exp_income,62.40273094177246,62.21739196777344,62.60796356201172,200.0,1.0
baseline,both,Ethiopia,exp_median,49.61652183532715,49.42208480834961,49.79502868652344,200.0,1.0
baseline,both,Ethiopia,exp_shortfall,0.0,0.0,0.0,200.0,1.0
baseline,both,Ethiopia,logsum,2.0392496585845947,1.9679478406906128,2.1103506088256836,200.0,1.0
baseline,both,Ethiopia,p_below_theta,0.0,0.0,0.0,200.0,1.0
baseline,both,Ethiopia,payout,0.7879226803779602,0.7879226803779602,0.7879226803779602,200.0,1.0
baseline,both,Ethiopia,premium,0.9455072283744812,0.9455072283744812,0.9455072283744812,200.0,1.0
baseline,both,Ethiopia,switch_share,0.12184229493141174,0.12035604566335678,0.12382582575082779,200.0,1.0
baseline,both,Malawi,ce_rho1.5,35.97126579284668,35.721370697021484,36.25119400024414,200.0,1.0
baseline,both,Malawi,ce_rho2.5,26.47628688812256,26.226160049438477,26.73294448852539,200.0,1.0
baseline,both,Malawi,ce_rho3.5,20.369312286376953,20.119245529174805,20.594663619995117,200.0,1.0
baseline,both,Malawi,cost,0.6423821449279785,0.6423821449279785,0.6423821449279785,200.0,1.0
baseline,both,Malawi,cost_behav,1.1677290201187134,1.1587376594543457,1.175246000289917,200.0,1.0
baseline,both,Malawi,cv_log,,,,200.0,0.0
baseline,both,Malawi,cv_pct,,,,200.0,0.0
baseline,both,Malawi,exp_income,57.228445053100586,57.028114318847656,57.45165252685547,200.0,1.0
baseline,both,Malawi,exp_median,42.89359664916992,42.65035629272461,43.17447280883789,200.0,1.0
baseline,both,Malawi,exp_shortfall,0.0,0.0,0.0,200.0,1.0
baseline,both,Malawi,logsum,-3.7217525243759155,-4.091621398925781,-3.3658456802368164,200.0,1.0
baseline,both,Malawi,p_below_theta,0.0,0.0,0.0,200.0,1.0
baseline,both,Malawi,payout,0.6102405190467834,0.6102405190467834,0.6102405190467834,200.0,1.0
baseline,both,Malawi,premium,0.732288658618927,0.732288658618927,0.732288658618927,200.0,1.0
baseline,both,Malawi,switch_share,0.05897049978375435,0.05467623472213745,0.063292495906353,200.0,1.0
baseline,both,Mali,ce_rho1.5,195.02125549316406,194.20779418945312,196.08181762695312,200.0,1.0
baseline,both,Mali,ce_rho2.5,161.47321319580078,160.76731872558594,162.41184997558594,200.0,1.0
baseline,both,Mali,ce_rho3.5,135.9073028564453,135.05116271972656,136.67982482910156,200.0,1.0
baseline,both,Mali,cost,3.9380764961242676,3.9380764961242676,3.9380764961242676,200.0,1.0
baseline,both,Mali,cost_behav,8.937564373016357,8.881505966186523,8.998531341552734,200.0,1.0
baseline,both,Mali,cv_log,0.8063443005084991,0.7575044631958008,0.8628619909286499,200.0,1.0
baseline,both,Mali,cv_pct,1.2397053241729736,1.1329467296600342,1.3699337244033813,200.0,1.0
baseline,both,Mali,exp_income,242.2588882446289,241.3440399169922,243.14454650878906,200.0,1.0
baseline,both,Mali,exp_median,215.86692810058594,214.9694366455078,216.98468017578125,200.0,1.0
baseline,both,Mali,exp_shortfall,0.0,0.0,0.0,200.0,1.0
baseline,both,Mali,logsum,5.619884729385376,5.204744338989258,5.8876800537109375,200.0,1.0
baseline,both,Mali,p_below_theta,0.0,0.0,0.0,200.0,1.0
baseline,both,Mali,payout,3.964319944381714,3.964319944381714,3.964319944381714,200.0,1.0
baseline,both,Mali,premium,4.757184028625488,4.757184028625488,4.757184028625488,200.0,1.0
baseline,both,Mali,switch_share,0.13089009374380112,0.12736836075782776,0.13467100262641907,200.0,1.0
baseline,both,Nigeria,ce_rho1.5,123.14079666137695,122.97285461425781,123.35478973388672,200.0,1.0
baseline,both,Nigeria,ce_rho2.5,89.0634994506836,88.87530517578125,89.22093963623047,200.0,1.0
baseline,both,Nigeria,ce_rho3.5,66.92020034790039,66.76580047607422,67.08999633789062,200.0,1.0
baseline,both,Nigeria,cost,4.022350311279297,4.022350311279297,4.022350311279297,200.0,1.0
baseline,both,Nigeria,cost_behav,8.436851024627686,8.413376808166504,8.459479331970215,200.0,1.0
baseline,both,Nigeria,cv_log,0.7254335284233093,0.6983784437179565,0.7493343949317932,200.0,1.0
baseline,both,Nigeria,cv_pct,1.0656264424324036,1.0104899406433105,1.1155914068222046,200.0,1.0
baseline,both,Nigeria,exp_income,190.66962432861328,190.36972045898438,190.95358276367188,200.0,1.0
baseline,both,Nigeria,exp_median,147.16472625732422,146.9263458251953,147.3730010986328,200.0,1.0
baseline,both,Nigeria,exp_shortfall,0.0,0.0,0.0,200.0,1.0
baseline,both,Nigeria,logsum,6.629120826721191,6.411665439605713,6.832077503204346,200.0,1.0
baseline,both,Nigeria,p_below_theta,0.0,0.0,0.0,200.0,1.0
baseline,both,Nigeria,payout,3.570582389831543,3.570582389831543,3.570582389831543,200.0,1.0
baseline,both,Nigeria,premium,4.284698963165283,4.284698963165283,4.284698963165283,200.0,1.0
baseline,both,Nigeria,switch_share,0.15018948167562485,0.1479816436767578,0.1527967005968094,200.0,1.0
