country,l1_half,max_abs
Ethiopia,0.0005725334581856987,0.0001368952398628498
Malawi,0.0007678147727240036,0.00044374499654102617
Mali,0.0015411069294803533,0.0005923898197648242
Nigeria,0.0007498533227960006,0.00020198344735515572
Tanzania,0.000977699371276604,0.00048739883147425056
Uganda,0.000530915275644615,0.00014954284740920087
