country,action,pred_median,pred_lo,pred_hi,obs_share,label,abs_diff
Ethiopia,0,0.04266978241503239,0.04158579558134079,0.043859850615262985,0.04271104872668939,maize_low,4.1266311657003896e-05
Ethiopia,1,0.04271620325744152,0.041351016610860825,0.04384409263730049,0.04272537168065542,maize_medium,9.168423213898325e-06
Ethiopia,2,0.04271216690540314,0.041624173521995544,0.04385770857334137,0.04271104872668939,maize_high,1.1181787137465315e-06
Ethiopia,3,0.14611420780420303,0.14412999153137207,0.14813686907291412,0.1461943911312269,tree_crops_low,8.018332702386388e-05
Ethiopia,4,0.1639767438173294,0.16177134215831757,0.1661657989025116,0.16392620814116704,tree_crops_medium,5.053567616236654e-05
Ethiopia,5,0.02314429171383381,0.022227132692933083,0.02393878623843193,0.02314589360909794,tree_crops_high,1.6018952641305706e-06
Ethiopia,6,0.029648855328559875,0.02849327027797699,0.030613571405410767,0.02961986880174167,tubers_low,2.898652681820532e-05
Ethiopia,7,0.03281142935156822,0.03183738887310028,0.03394879773259163,0.03285685639806354,tubers_medium,4.5427046495315204e-05
Ethiopia,8,0.0027021339628845453,0.0023679323494434357,0.002973466645926237,0.0027070382995789052,tubers_high,4.904336694359912e-06
Ethiopia,9,0.03699095360934734,0.03595239669084549,0.03798826411366463,0.03695322123234696,legumes_low,3.773237700038096e-05
Ethiopia,10,0.041689034551382065,0.04033687710762024,0.04270048812031746,0.04173708785699963,legumes_medium,4.805330561756527e-05
Ethiopia,11,0.0095402542501688,0.008862663060426712,0.0101084616035223,0.009596379157237388,legumes_high,5.6124907068588054e-05
Ethiopia,12,0.038264598697423935,0.03694910928606987,0.039314500987529755,0.038127703457561085,sorghum_millet_low,0.0001368952398628498
Ethiopia,13,0.03809964656829834,0.03710651025176048,0.039279986172914505,0.03815634936549314,sorghum_millet_medium,5.670279719480198e-05
Ethiopia,14,0.038029056042432785,0.037027616053819656,0.03930830582976341,0.038113380503595064,sorghum_millet_high,8.432446116227871e-05
Ethiopia,15,0.02630071621388197,0.02541194297373295,0.027455715462565422,0.026368558251453778,teff_low,6.784203757180876e-05
Ethiopia,16,0.026316992938518524,0.025563407689332962,0.027416275814175606,0.026354235297487753,teff_medium,3.724235896922917e-05
Ethiopia,17,0.026302771642804146,0.025305472314357758,0.027134058997035027,0.026368558251453778,teff_high,6.57866086496324e-05
Ethiopia,18,0.04264388792216778,0.04142720252275467,0.043888259679079056,0.04255349623306311,other_low,9.039168910467132e-05
Ethiopia,19,0.04839299991726875,0.047348104417324066,0.049792613834142685,0.0484545532670658,other_medium,6.155334979704441e-05
Ethiopia,20,0.0044034807942807674,0.003967874217778444,0.004760693293064833,0.004411469821535993,other_high,7.989027255225767e-06
Ethiopia,21,0.0008060565742198378,0.000637166784144938,0.0009217358310706913,0.0007877624681314274,rice_low,1.829410608841038e-05
Ethiopia,22,0.0007669167825952172,0.0006244084215722978,0.0009366624872200191,0.0007734395141654015,rice_medium,6.522731570184222e-06
Ethiopia,23,0.0007950779690872878,0.0006288029835559428,0.0009578971075825393,0.0007877624681314274,rice_high,7.315500955860379e-06
Ethiopia,24,0.0312640480697155,0.030340973287820816,0.032382890582084656,0.031281331461800684,wheat_barley_low,1.7283392085183646e-05
Ethiopia,25,0.03126898594200611,0.030248722061514854,0.03223477303981781,0.031295654415766705,wheat_barley_medium,2.666847376059378e-05
Ethiopia,26,0.031226178631186485,0.03021273948252201,0.03237774223089218,0.031281331461800684,wheat_barley_high,5.5152830614198234e-05
Malawi,0,0.2148679792881012,0.21032103896141052,0.22057172656059265,0.21528494438711157,maize_low,0.0004169650990103746
Malawi,1,0.2153380662202835,0.2095738649368286,0.2193693369626999,0.21539961013645223,maize_medium,6.154391616872146e-05
Malawi,2,0.21532313525676727,0.21009209752082825,0.21992653608322144,0.21528494438711157,maize_high,3.8190869655702064e-05
Malawi,3,0.07890075817704201,0.07588690519332886,0.08225775510072708,0.0788900355463823,tree_crops_low,1.0722630659709687e-05
Malawi,4,0.0,0.0,0.0,0.0,tree_crops_medium,0.0
Malawi,5,0.0,0.0,0.0,0.0,tree_crops_high,0.0
Malawi,6,0.008470604196190834,0.007190278265625238,0.00966151338070631,0.008427932576539388,tubers_low,4.267161965144581e-05
Malawi,7,0.009296270553022623,0.008267316035926342,0.010527878999710083,0.009287925696594427,tubers_medium,8.344856428196129e-06
Malawi,8,0.0015332061448134482,0.0011633442481979728,0.0021858224645256996,0.0015479876160990713,tubers_high,1.478147128562311e-05
Malawi,9,0.06655895337462425,0.0639764666557312,0.06974728405475616,0.06667813324160074,legumes_low,0.00011917986697648764
