country,metric,param,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,n_ok
Ethiopia,switch_safety_net,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,f,0.4381994307041168,0.12636320292949677,0.7511983513832092,1.0091286897659302,0.8075746893882751,1.2114777565002441,128
Ethiopia,d_pbelow_safety_net,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_safety_net,theta,0.010240674018859863,-0.23912949860095978,0.18341705203056335,0.3708135187625885,0.2602774202823639,0.48383188247680664,128
Ethiopia,d_expinc_safety_net,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,f,1.004145622253418,-0.13128501176834106,2.08600115776062,1.0051261186599731,0.8572925925254822,1.1573927402496338,128
Ethiopia,d_expinc_safety_net,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_safety_net,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,f,-0.04187021031975746,-0.32105663418769836,0.20671981573104858,0.8006239533424377,0.6565381288528442,0.9626098871231079,128
Ethiopia,pd_safety_net,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_safety_net,theta,0.10023659467697144,-0.0811975821852684,0.3153289556503296,0.6442065834999084,0.4429590404033661,0.9098196029663086,128
Ethiopia,pdr_safety_net,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,f,-0.04187021031975746,-0.3009456396102905,0.2231782227754593,0.8006239533424377,0.6577436327934265,0.969865083694458,128
Ethiopia,pdr_safety_net,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pdr_safety_net,theta,0.10023659467697144,-0.09220198541879654,0.32439541816711426,0.6442065834999084,0.4374997615814209,0.889728307723999,128
Ethiopia,switch_insurance,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_insurance,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_insurance,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_insurance,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,switch_insurance,trigger,0.6662464737892151,-0.1128300279378891,1.3858081102371216,0.6094587445259094,0.5289701223373413,0.7101894617080688,128
Ethiopia,switch_insurance,basis,0.3507562577724457,-0.344453364610672,1.152981162071228,0.3671366572380066,0.31440773606300354,0.43167269229888916,128
Ethiopia,switch_insurance,loading,0.010150715708732605,-0.12104055285453796,0.1453297734260559,0.014413667842745781,0.011746409349143505,0.017864415422081947,128
Ethiopia,switch_insurance,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_insurance,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_insurance,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_insurance,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_insurance,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_pbelow_insurance,trigger,0.27382731437683105,0.10097884386777878,0.45872482657432556,0.6239883899688721,0.46594616770744324,0.8115407824516296,128
Ethiopia,d_pbelow_insurance,basis,-0.002921105595305562,-0.12097746878862381,0.11270181834697723,0.24296241998672485,0.17999088764190674,0.31897589564323425,128
Ethiopia,d_pbelow_insurance,loading,-0.003659450449049473,-0.06390070915222168,0.088433176279068,0.0588780902326107,0.02776172012090683,0.09809178858995438,128
Ethiopia,d_pbelow_insurance,theta,0.31741222739219666,0.1738445907831192,0.49663859605789185,0.5221318006515503,0.4142724275588989,0.6665162444114685,128
Ethiopia,d_expinc_insurance,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_insurance,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_insurance,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_insurance,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,d_expinc_insurance,trigger,0.7595447897911072,0.1431390941143036,1.4100180864334106,0.7425879836082458,0.6231938600540161,0.8758274912834167,128
Ethiopia,d_expinc_insurance,basis,0.2322126030921936,-0.10875321179628372,0.6160604357719421,0.2593463063240051,0.21829022467136383,0.30529099702835083,128
Ethiopia,d_expinc_insurance,loading,0.017701642587780952,-0.030102059245109558,0.08462194353342056,0.0050627184100449085,0.002795326989144087,0.007858133874833584,128
Ethiopia,d_expinc_insurance,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_insurance,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_insurance,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_insurance,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_insurance,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Ethiopia,pd_insurance,trigger,-0.002557571744546294,-0.03598988428711891,0.002277952851727605,0.027051394805312157,0.005338039714843035,0.18074801564216614,128
Ethiopia,pd_insurance,basis,-1.0610384379106108e-05,-0.006439749617129564,0.010342624969780445,0.03956525772809982,0.003049178048968315,0.1557047963142395,128
Ethiopia,pd_insurance,loading,-0.5050181150436401,-0.7243008613586426,0.531630277633667,0.36673304438591003,0.16174651682376862,0.9876516461372375,128
Ethiopia,pd_insurance,theta,0.008466378785669804,0.00190918508451432,0.07314568012952805,0.7237226366996765,0.008041535504162312,2.8726236820220947,128
Ethiopia,pdr_insurance,t,0.0,0.0,0.0,0.0,0.0,0.0,128
