action,label,pred,obs,diff
0,maize_low,0.044818115234375,0.06217824279466542,0.01736012756029042
1,maize_medium,0.04542724609375,0.06210617818874621,0.016678932094996213
2,maize_high,0.045946044921875,0.06211518626448611,0.01616914134261111
3,tree_crops_low,0.045135498046875,0.11318647167185382,0.06805097362497882
4,tree_crops_medium,0.04076416015625,0.11464577994171775,0.07388161978546776
5,tree_crops_high,0.040596923828125,0.009228773595528391,0.031368150232596606
6,tubers_low,0.046207275390625,0.062286339703544226,0.01607906431291923
7,tubers_medium,0.046749267578125,0.06933966300788658,0.022590395429761573
8,tubers_high,0.04453125,0.008354990248758012,0.03617625975124199
9,legumes_low,0.044051513671875,0.0597280461934124,0.015676532521537397
10,legumes_medium,0.04598388671875,0.06853344022916545,0.022549553510415453
11,legumes_high,0.045596923828125,0.011061917008598208,0.03453500681952679
12,sorghum_millet_low,0.04246337890625,0.04364863099768943,0.0011852520914394302
13,sorghum_millet_medium,0.04321533203125,0.043635118884079574,0.0004197868528295762
14,sorghum_millet_high,0.044217529296875,0.04362160677046972,0.0005959225264052792
15,teff_low,0.0119482421875,0.008291933718578707,0.003656308468921293
16,teff_medium,0.011708984375,0.008287429680708756,0.0034215546942912445
17,teff_high,0.01226806640625,0.008291933718578707,0.0039761326876712935
18,other_low,0.04524658203125,0.036401634064939216,0.008844947966310787
19,other_medium,0.04607421875,0.043635118884079574,0.0024390998659204258
20,other_high,0.047044677734375,0.008404534665327467,0.03864014306904753
21,rice_low,0.037930908203125,0.007760457249924558,0.030170450953200444
22,rice_medium,0.04205810546875,0.00789557838602307,0.034162527082726935
23,rice_high,0.036708984375,0.007728928984834904,0.0289800553901651
24,wheat_barley_low,0.010694580078125,0.009836818707971696,0.0008577613701533041
25,wheat_barley_medium,0.02162841796875,0.009958427730460358,0.011669990238289643
26,wheat_barley_high,0.01098388671875,0.009836818707971696,0.0011470680107783047
