param,country,median,mean,sd,hpdi_lo,hpdi_hi,r_hat,ess_bulk,ess_tail,n_chains,n_draws
mu_rho,,0.42481738328933716,0.4129899227654096,0.8559313580309095,-0.9275621771812439,1.817579746246338,1.0010922774217264,3116.036899986196,3154.0520773023495,4,1000
sigma_rho,,3.6221089363098145,3.659037645578384,0.5424222646043632,2.7942581176757812,4.477232456207275,1.0004778678727406,2455.5530196598165,2476.482166766919,4,1000
mu_s,,0.5143672823905945,0.5082369176569628,0.776729883780056,-0.7011429667472839,1.7472927570343018,1.0004814282750403,3457.069026781041,2398.9645549066877,4,1000
sigma_s,,2.5601441860198975,2.599267185330391,0.5551877942166302,1.694657802581787,3.429949998855591,1.001733449951485,1922.3208143018048,2247.320361463299,4,1000
mu_lb,,-1.252698004245758,-1.2101051883413456,0.54868749787587,-2.0617244243621826,-0.4003547728061676,1.000303299636697,2751.3752159251403,2143.996907924891,4,1000
sigma_lb,,1.3032633662223816,1.367343088194728,0.39061674783720174,0.7433138489723206,1.893761157989502,1.000044913621692,2693.1298377692333,2954.600646204906,4,1000
rho_c,Ethiopia,4.986772537231445,4.973959609985352,0.03480052898974659,4.936154842376709,4.999997615814209,1.000669504701221,2870.850705768934,2193.074995119979,4,1000
rho_c,Malawi,0.10593762993812561,0.1104489945806563,0.012821237504906017,0.10000035166740417,0.12474994361400604,1.000717580425291,2950.576995892229,1913.0083926054506,4,1000
rho_c,Mali,4.9917075634002686,4.983564833521843,0.022380749280807806,4.960690975189209,5.0,0.999909875490412,2892.700456125958,1652.8449958250912,4,1000
rho_c,Nigeria,4.922967433929443,4.860522253155708,0.15988332720896023,4.639444351196289,5.0,1.0065593077189066,1158.984580291513,1429.7261047430882,4,1000
rho_c,Tanzania,0.10454642400145531,0.10807552569732069,0.00989951174171201,0.10000020265579224,0.11929647624492645,1.0015498629135886,2964.237628726726,1871.4467474397748,4,1000
rho_c,Uganda,4.926127910614014,4.817808092296124,0.25902581199046076,4.503570079803467,4.999999046325684,1.0016190131956717,2372.680407810217,1885.113256381847,4,1000
s_c,Ethiopia,0.7915306389331818,0.7868790087699891,0.01427714648583465,0.7701744437217712,0.800000011920929,1.0006436285943585,2713.1743241271056,1736.710409585172,4,1000
s_c,Malawi,0.7006242573261261,0.61630141124547,0.20995225580651683,0.27988892793655396,0.7999935150146484,1.001245713556913,2680.515175159777,1938.1226815560633,4,1000
s_c,Mali,0.1243780329823494,0.12453740958310663,0.0170322767609782,0.09666844457387924,0.1501816213130951,1.0025543629064495,4567.8483980764395,2864.672367658816,4,1000
s_c,Nigeria,0.15718183666467667,0.15830504273250698,0.014059069889488096,0.13450205326080322,0.17888997495174408,1.0033168825754746,1734.2912510866747,1306.5884654259442,4,1000
s_c,Tanzania,0.7822680473327637,0.7678125115260482,0.03963731158346004,0.7228679656982422,0.7999899983406067,1.0005135919104633,3151.54351340294,1706.301664334546,4,1000
s_c,Uganda,0.7956319153308868,0.7930046577602625,0.007639486642850857,0.7838178873062134,0.7999994158744812,1.0016492085734356,2190.638250714651,1630.649622664616,4,1000
