param,country,median,mean,sd,hpdi_lo,hpdi_hi,r_hat,ess_bulk,ess_tail,n_chains,n_draws
mu_rho,,0.2178824469447136,0.21386594335664996,0.8434458430723725,-1.0400408506393433,1.6428232192993164,0.9999231924260543,3333.452741889513,2520.081139253104,4,1000
sigma_rho,,3.4841933250427246,3.5246376076638697,0.5428941932908297,2.6348845958709717,4.349266052246094,1.0005281261254844,1922.9597516854062,2525.28788097971,4,1000
mu_lb,,-1.3442875742912292,-1.2879124997071922,0.6864633477844494,-2.366262197494507,-0.24986156821250916,1.0003036210844114,1992.1937518303153,2144.2448406760027,4,1000
sigma_lb,,1.7179949283599854,1.7753896614164113,0.48385760470981726,0.9892345666885376,2.450800657272339,1.0010144153718916,1990.9744473993226,2838.1468147627565,4,1000
rho_c,Ethiopia,4.988849639892578,4.979035733819008,0.027274508272600695,4.94904899597168,5.0,0.9999233123795382,2536.1576197761924,1559.7746705696309,4,1000
rho_c,Malawi,0.10643109679222107,0.11156833731383085,0.014410804344838806,0.10000135004520416,0.12778159976005554,1.000182946398489,2212.2823898778893,1170.6811635677757,4,1000
rho_c,Mali,4.985559940338135,4.971231884002686,0.037485548891082854,4.9251484870910645,5.0,1.0001621429842955,2188.5192357299047,1712.70829020009,4,1000
rho_c,Nigeria,3.4109302759170532,3.417717821121216,0.11943714719955557,3.232227325439453,3.6109657287597656,1.0012943815867936,2776.532499291383,2183.362132887178,4,1000
rho_c,Tanzania,0.10502774268388748,0.1090334631819278,0.011146005202877814,0.10000037401914597,0.12208627164363861,0.9999536232313446,3032.969737157192,1862.1716830281048,4,1000
rho_c,Uganda,4.917896509170532,4.82533271086216,0.22564507372532927,4.544034957885742,5.0,1.001268017279717,2672.450412966233,1698.0182161027064,4,1000
s_c,Ethiopia,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_c,Malawi,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_c,Mali,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_c,Nigeria,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_c,Tanzania,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_c,Uganda,0.30000001192092896,0.30000001192092896,0.0,0.30000001192092896,0.30000001192092896,,,,4,1000
s_lat_c,Ethiopia,0.0,0.0,0.0,0.0,0.0,,,,4,1000
s_lat_c,Malawi,0.0,0.0,0.0,0.0,0.0,,,,4,1000
s_lat_c,Mali,0.0,0.0,0.0,0.0,0.0,,,,4,1000
s_lat_c,Nigeria,0.0,0.0,0.0,0.0,0.0,,,,4,1000
s_lat_c,Tanzania,0.0,0.0,0.0,0.0,0.0,,,,4,1000
s_lat_c,Uganda,0.0,0.0,0.0,0.0,0.0,,,,4,1000
gamma_c,Ethiopia,5.956940650939941,5.956940650939941,0.0,5.956940650939941,5.956940650939941,,,,4,1000
gamma_c,Malawi,5.737049102783203,5.737049102783203,0.0,5.737049102783203,5.737049102783203,,,,4,1000
gamma_c,Mali,38.987064361572266,38.987064361572266,0.0,38.987064361572266,38.987064361572266,,,,4,1000
gamma_c,Nigeria,30.82103729248047,30.82103729248047,0.0,30.82103729248047,30.82103729248047,,,,4,1000
gamma_c,Tanzania,7.807953834533691,7.807953834533691,0.0,7.807953834533691,7.807953834533691,,,,4,1000
gamma_c,Uganda,7.637943267822266,7.637943267822266,0.0,7.637943267822266,7.637943267822266,,,,4,1000
beta_c,Ethiopia,0.06725427880883217,0.06724244937114418,0.002609244430037299,0.06335900723934174,0.07164774090051651,1.000560838234676,3331.9746049473483,2587.097313096879,4,1000
beta_c,Malawi,0.04401259683072567,0.04395901189558208,0.0032373589543791257,0.03873778507113457,0.0489049032330513,1.0009279495705778,2879.4322189764193,2472.4080859114497,4,1000
beta_c,Mali,0.41858959197998047,0.41863641880452634,0.011261495617772463,0.4013773500919342,0.4374755620956421,0.9999281691406944,3744.264795919427,2621.709994332258,4,1000
beta_c,Nigeria,0.7665996849536896,0.7668625725060702,0.01775046341796011,0.7391294836997986,0.7949828505516052,1.0011703497200677,2905.1252832733785,2757.811839963062,4,1000
beta_c,Tanzania,0.046519916504621506,0.0464824771406129,0.005745815367791175,0.03698835149407387,0.05532257631421089,1.001559715928065,3390.153924985232,1931.7032865996866,4,1000
beta_c,Uganda,0.018315639346837997,0.018507717334665358,0.0007445851483931338,0.018315639346837997,0.018315639346837997,0.9999640542756104,4165.3390643592575,4097.279649203549,4,1000
rho_lat_c,Ethiopia,6.083253860473633,6.40767773604393,1.7710258464693929,3.9257941246032715,8.885992050170898,0.9999270036116482,2536.3517126785073,1559.7746705696309,4,1000
rho_lat_c,Malawi,-6.634532690048218,-6.925838311493397,1.6673088448590547,-9.249370574951172,-4.477096080780029,1.002485893023061,2212.268753013412,1170.6811635677757,4,1000
rho_lat_c,Mali,5.824040412902832,6.1444507374167445,1.808152660570663,3.331386089324951,8.509946823120117,1.0019430127341324,2188.244192733384,1712.70829020009,4,1000
rho_lat_c,Nigeria,0.7340804934501648,0.7426801556497812,0.1126953952397454,0.5720239877700806,0.9272825717926025,1.0012805630981856,2776.561357256967,2183.362132887178,4,1000
rho_lat_c,Tanzania,-6.880993366241455,-7.150019102275372,1.6270416284106899,-9.309807777404785,-4.7226152420043945,1.0006644494951773,3032.9866799109013,1862.1716830281048,4,1000
rho_lat_c,Uganda,4.0721116065979,4.4184918714463715,2.016029626824558,1.4973782300949097,7.180248737335205,1.0007131670825524,2671.765525936981,1698.0182161027064,4,1000
lb_c,Ethiopia,-2.6992746591567993,-2.7002044326663017,0.03885724362473663,-2.7588398456573486,-2.6359012126922607,1.0006423211068083,3331.9746049473483,2587.097313096879,4,1000
lb_c,Malawi,-3.1232794523239136,-3.1272324150800705,0.0741691901502448,-3.2470078468322754,-3.014307975769043,1.0009279495705778,2879.4322189764193,2472.4080859114497,4,1000
lb_c,Mali,-0.8708643615245819,-0.8711142006069422,0.026902029350890706,-0.9108519554138184,-0.8247877955436707,0.9999485652141068,3744.264366118071,2621.709994332258,4,1000
lb_c,Nigeria,-0.26579058170318604,-0.26571552570164203,0.023150100276482264,-0.3022821247577667,-0.22943471372127533,1.0011703288762663,2905.1258839171214,2757.811839963062,4,1000
lb_c,Tanzania,-3.067874789237976,-3.076513151884079,0.12622123467721083,-3.286248207092285,-2.8869383335113525,1.0017162708596778,3390.153924985232,1931.7032865996866,4,1000
lb_c,Uganda,-4.469348669052124,-4.699826574921608,0.7996699394993355,-5.708215713500977,-3.772578477859497,1.0015982066017952,1725.3294911659082,1443.3943446857188,4,1000
