scenario,country,ce_median,ce_q025,ce_q975,rho_factor,floor_coverage
S0_current,Ethiopia,34.43376140301103,33.71682516981637,35.16786065751637,1.0,0.0
S0_current,Malawi,31.375112438148165,30.16726699610277,31.61849420817498,1.0,0.0
S0_current,Mali,181.6254640389381,173.8937157930862,190.11029857442776,1.0,0.0
S0_current,Nigeria,133.25095893227933,126.77875965606341,139.78471222235723,1.0,0.0
S0_current,Tanzania,30.39098143198673,12.372427992316698,32.251943167074174,1.0,0.0
S0_current,Uganda,33.298735032563314,29.927521396580527,35.97499087384275,1.0,0.0
S1_ssp245,Ethiopia,34.30943601420096,33.63443771930263,34.99369905840935,1.0,0.0
S1_ssp245,Malawi,31.359569096653775,30.161550359093923,31.59600624336991,1.0,0.0
S1_ssp245,Mali,119.19512499063268,113.709901603169,126.07493549234492,1.0,0.0
S1_ssp245,Nigeria,118.82068031732867,111.59413894984168,125.55593095834573,1.0,0.0
S1_ssp245,Tanzania,30.405980712549244,12.446188778011205,32.25740857047954,1.0,0.0
S1_ssp245,Uganda,36.662414153629626,33.10996286878615,39.528907785652734,1.0,0.0
S2_ssp585,Ethiopia,34.18700486490943,33.55234052948995,34.82465232843749,1.0,0.0
S2_ssp585,Malawi,31.370063432680713,30.165823655813345,31.611230849211182,1.0,0.0
S2_ssp585,Mali,122.13988249130819,116.76396391720095,129.06890309957967,1.0,0.0
S2_ssp585,Nigeria,112.31053112577072,103.44261739893217,119.4704748491592,1.0,0.0
S2_ssp585,Tanzania,30.414697353254585,12.232894262599688,32.258227956547586,1.0,0.0
S2_ssp585,Uganda,36.689137807439195,33.05985844322278,39.78956052913962,1.0,0.0
S3_insurance,Ethiopia,46.18062671746021,44.45235649280486,47.81888203656704,0.5,0.0
S3_insurance,Malawi,32.57272950334239,31.68577600450419,32.98758183562852,0.5,0.0
S3_insurance,Mali,173.34586170453753,167.55124366747157,179.47687886481577,0.5,0.0
S3_insurance,Nigeria,163.01209364630154,158.19643300345933,167.25480761066098,0.5,0.0
S3_insurance,Tanzania,35.30724186960285,26.43751283074132,45.70124139445971,0.5,0.0
S3_insurance,Uganda,51.62602924213718,49.533773095330794,53.35292859102383,0.5,0.0
S4_safety_net,Ethiopia,51.68052896030251,51.05789246814617,52.37486148289561,1.0,0.5
S4_safety_net,Malawi,32.08965829487326,31.794358905607652,32.20107181976583,1.0,0.5
S4_safety_net,Mali,169.79859812172782,166.5241771097338,173.47504704273754,1.0,0.5
S4_safety_net,Nigeria,147.02503106343576,143.18795361828901,151.21243451997523,1.0,0.5
S4_safety_net,Tanzania,44.80762389717361,40.15062027432265,47.987032210748744,1.0,0.5
S4_safety_net,Uganda,46.06221119257023,44.50619066945117,47.469938215682895,1.0,0.5
S5_combined,Ethiopia,60.92967385932427,59.75403065252495,62.260106544384314,0.5,0.5
S5_combined,Malawi,33.38865892435949,33.11105279773788,33.79268163906744,0.5,0.5
S5_combined,Mali,200.13892766348744,197.1079052500652,203.6323777447684,0.5,0.5
S5_combined,Nigeria,180.0626570278822,176.6910780995545,182.85040418479784,0.5,0.5
S5_combined,Tanzania,53.567201582297685,48.800311213532495,61.66658195539617,0.5,0.5
S5_combined,Uganda,56.067466441203194,54.77585344647737,57.28313623189532,0.5,0.5
