country,mda_s0.5,mda_s0.5_lo,mda_s0.5_hi,mda_s1.0,mda_s1.0_lo,mda_s1.0_hi,sigma_star,sigma_star_lo,sigma_star_hi,p_a_pos,p_c_pos
Ethiopia,0.722968339920044,0.6865939497947693,0.7594876885414124,0.11956922709941864,0.10674407333135605,0.13225357234477997,1.0990610122680664,1.089985728263855,1.107873558998108,1.0,1.0
Malawi,-0.6237932443618774,-0.7088863849639893,-0.5456892251968384,-0.24087834358215332,-0.27437111735343933,-0.20802024006843567,1.3137648105621338,1.286534070968628,1.3433469533920288,0.0,1.0
Mali,0.37617266178131104,0.34688669443130493,0.4046913683414459,0.07349245250225067,0.05901137739419937,0.08838237076997757,1.1215250492095947,1.0979876518249512,1.1452916860580444,1.0,1.0
Nigeria,0.30068734288215637,0.288133442401886,0.31537526845932007,0.07526551187038422,0.06820594519376755,0.08200813829898834,1.1667166948318481,1.1541098356246948,1.1800811290740967,1.0,1.0
Tanzania,-6.1585307121276855,-34.10515594482422,-2.335021495819092,-1.931401014328003,-10.2938871383667,-0.7350563406944275,1.227285623550415,1.2082765102386475,1.2454084157943726,0.061,1.0
Uganda,0.6580988764762878,0.6142684817314148,0.6998116970062256,0.08523811399936676,0.07286892831325531,0.09667302668094635,1.0744128227233887,1.065223217010498,1.083848237991333,1.0,1.0
