country,da_poor_minus_rich,da_lo,da_hi,p_da_gt0,db_poor_minus_rich,db_lo,db_hi,p_db_gt0,dc_poor_minus_rich,dc_lo,dc_hi,p_dc_gt0,dmarg05_poor_minus_rich,dmarg05_lo,dmarg05_hi,p_dmarg05_gt0
Ethiopia,-0.1559380292892456,-0.1849251091480255,-0.12583482265472412,0.0,0.5801689624786377,0.3376150131225586,0.8469781875610352,1.0,-0.2502351999282837,-0.3546457290649414,-0.14136266708374023,0.0,0.3311089277267456,0.17789936065673828,0.49008846282958984,0.99975
Malawi,-0.975102424621582,-1.098270297050476,-0.8466392755508423,0.0,-2.913294792175293,-3.993342638015747,-1.9036178588867188,0.0,0.6901096701622009,0.2853078842163086,1.0819871425628662,0.994,-2.217960834503174,-2.9030356407165527,-1.576648235321045,0.0
Mali,-0.7322466373443604,-0.8264124393463135,-0.6266241073608398,0.0,-0.7497873306274414,-1.7346043586730957,0.1395254135131836,0.0995,-0.1175459623336792,-0.5676653385162354,0.3736240863800049,0.34625,-0.8673911094665527,-1.4120569229125977,-0.3472580909729004,0.00625
Nigeria,-1.0396567583084106,-1.118859052658081,-0.9608914852142334,0.0,-8.018331527709961,-8.63652515411377,-7.336602687835693,0.0,2.9399261474609375,2.6689133644104004,3.2248921394348145,1.0,-5.076566696166992,-5.446146011352539,-4.674729347229004,0.0
Tanzania,-0.331949919462204,-0.4703943729400635,-0.17621275782585144,0.0,0.2636837959289551,-0.8626680374145508,1.386366844177246,0.6475,-0.07107710838317871,-0.49270057678222656,0.31824493408203125,0.39675,0.18758034706115723,-0.5668220520019531,0.9299263954162598,0.658
Uganda,-0.3040449917316437,-0.4180138111114502,-0.19957077503204346,0.0,-4.025121688842773,-4.678009986877441,-3.3346662521362305,0.0,1.4686357975006104,1.1878814697265625,1.7391948699951172,1.0,-2.5545718669891357,-2.9622135162353516,-2.143012523651123,0.0
