param,country,median,mean,sd,hpdi_lo,hpdi_hi,r_hat,ess_bulk,ess_tail,n_chains,n_draws
mu_rho,,0.37089860439300537,0.34732371288491415,0.8937816111421948,-0.9457190036773682,1.925553321838379,1.0373619744117522,72.42276044717502,2057.7304916059707,4,1000
sigma_rho,,3.6440680027008057,3.6661047922074794,0.5710984944141447,2.6666712760925293,4.490862846374512,1.0088712206634467,639.7254742236827,1053.5060587291098,4,1000
mu_s,,0.5220406651496887,0.5136056077459361,0.795372529232313,-0.6421886682510376,1.8518730401992798,1.0123621778947713,1513.6668035994262,1758.3129080890465,4,1000
sigma_s,,2.409031867980957,2.4501402123272418,0.5673607937711338,1.5241405963897705,3.294707775115967,1.0314111335193918,132.44085642842637,625.9210470189166,4,1000
mu_lb,,-1.3340409994125366,-1.2667221566038207,0.6188473523224589,-2.268321990966797,-0.33789899945259094,1.0037648454124564,1936.9738415169447,2101.1159648583935,4,1000
sigma_lb,,1.434009611606598,1.5107614265084266,0.4597797522673333,0.8083235621452332,2.1735196113586426,1.0726822284328483,38.122963446451045,1336.0683186882218,4,1000
rho_c,Ethiopia,4.988950490951538,4.9768055124282835,0.031592050645964244,4.94160270690918,4.999997615814209,1.0001690599076951,2366.2269113231464,1579.1190259911327,4,1000
rho_c,Malawi,0.10600029304623604,0.11119386935606598,0.014275601485046426,0.10000024735927582,0.1273151934146881,1.0010616573757691,1927.755611752521,1494.535350564881,4,1000
rho_c,Mali,4.991138696670532,4.98345862030983,0.021099172911158207,4.959872245788574,5.0,1.001622224745471,2170.157410190195,1600.271148918313,4,1000
rho_c,Nigeria,4.924617767333984,4.866379838466644,0.152957855502012,4.656617641448975,5.0,1.0067429048127519,1170.835021600282,1567.4878299594875,4,1000
rho_c,Tanzania,0.1057346984744072,0.5496562771946192,1.3044312416159134,0.10000131279230118,0.16824211180210114,1.2399857267330348,13.659486438740355,1578.7441818924017,4,1000
rho_c,Uganda,4.821438789367676,3.822650890549645,1.9017637319431866,0.10000118613243103,4.99397611618042,1.349818453656237,9.076151808066054,,4,1000
s_c,Ethiopia,0.5942806005477905,0.5914796841293574,0.009020404765858895,0.5811095237731934,0.5999952554702759,1.0077578779173573,1829.888139559296,2028.5128627707304,4,1000
s_c,Malawi,0.5173869431018829,0.44553519943366254,0.1705435754324338,0.16155290603637695,0.5999932885169983,1.0056967031798276,2665.7071987827126,2145.5322934645674,4,1000
s_c,Mali,0.12519250810146332,0.1254338642973453,0.017092988325650742,0.09833571314811707,0.15239599347114563,0.9996788243691476,3055.0994849513527,2478.1277208122315,4,1000
s_c,Nigeria,0.15702863037586212,0.15786018131673335,0.013783592046618566,0.13624981045722961,0.17993639409542084,1.0009310899028752,1862.6579383126477,1493.238913635412,4,1000
s_c,Tanzania,0.578798234462738,0.5591096820218954,0.0579944061744181,0.5073348879814148,0.5999873876571655,1.025600534517389,228.0391550322774,369.4112518559685,4,1000
s_c,Uganda,0.5934568345546722,0.5457468832620798,0.12686607746182033,0.43411746621131897,0.5999993681907654,1.2805905265581368,10.602049280667016,,4,1000
s_lat_c,Ethiopia,4.643479824066162,4.858477894127369,1.3303786707737775,2.792574405670166,6.70670223236084,1.0077578522355197,1829.9251924925557,2028.5128627707304,4,1000
s_lat_c,Malawi,1.834625244140625,1.775863962859381,2.361659231908057,-1.9903900623321533,5.520389556884766,1.0056966756923766,2665.712093718245,2145.5322934645674,4,1000
s_lat_c,Mali,-1.3330568075180054,-1.3394278614521027,0.17448433654433695,-1.6187093257904053,-1.0681465864181519,0.9996775171170036,3055.095942010788,2478.1277208122315,4,1000
s_lat_c,Nigeria,-1.0370769500732422,-1.033207206904888,0.1181855262395032,-1.2125873565673828,-0.8367851972579956,1.0009310899170072,1862.6516881098512,1493.238913635412,4,1000
s_lat_c,Tanzania,3.3068687915802,3.5097759059891103,1.6968691274951928,0.8583086729049683,6.090424537658691,1.0256001719134513,228.05707445569098,369.4112518559685,4,1000
s_lat_c,Uganda,4.507538795471191,4.22805807130225,2.421171829814774,0.017043888568878174,7.998040199279785,1.2805903024736003,10.602067353755148,,4,1000
gamma_c,Ethiopia,11.800313472747803,11.744697426319123,0.17911338610458122,11.538782119750977,11.913785934448242,1.007757855012444,1829.8876255978632,2028.5128627707304,4,1000
gamma_c,Malawi,9.894247055053711,8.520190700720923,3.261389413484773,3.08945631980896,11.473969459533691,1.0056967031798276,2665.7071987827126,2145.5322934645674,4,1000
gamma_c,Mali,16.269628524780273,16.300993124961852,2.2213513583551507,12.779401779174805,19.804906845092773,0.9996787942573195,3055.0994849513527,2478.1277208122315,4,1000
gamma_c,Nigeria,16.132617950439453,16.2180478413105,1.4160820060650658,13.997867584228516,18.486085891723633,1.0009310899028752,1862.6579383126477,1493.238913635412,4,1000
gamma_c,Tanzania,15.064098834991455,14.551674688085914,1.5093920971797428,13.204156875610352,15.615577697753906,1.025600534517389,228.0391550322774,369.4112518559685,4,1000
gamma_c,Uganda,15.109297752380371,13.894611877831398,3.229986208582105,11.0525484085083,15.275870323181152,1.2805905265581368,10.602049280667016,,4,1000
beta_c,Ethiopia,0.0714326724410057,0.07146471202746034,0.002639937475673515,0.06714410334825516,0.07547054439783096,1.0043372046287524,3588.706812191731,2341.0418280976496,4,1000
beta_c,Malawi,0.04405795410275459,0.044106169822625815,0.003200337948536307,0.03898543491959572,0.04922809451818466,1.0003664035139246,3119.3086732649326,2267.0919262127604,4,1000
beta_c,Mali,0.42705732583999634,0.4272091238796711,0.011265907201869301,0.4098511338233948,0.445417195558548,1.0007222413744805,3317.475404185359,2689.244266418395,4,1000
beta_c,Nigeria,0.886305421590805,0.8851836640387774,0.019604635354388365,0.8536936044692993,0.9167211651802063,1.0032889286341367,1758.8234385787478,1104.644294992355,4,1000
beta_c,Tanzania,0.04947133734822273,0.04870310554234311,0.007386794275045056,0.0383310467004776,0.05996627360582352,1.1006564425646685,24.931388434173677,13.475584978474831,4,1000
beta_c,Uganda,0.07310555502772331,0.06810912914993242,0.03304384355451796,0.018315639346837997,0.10788079351186752,1.319565769194708,9.653537785819134,5.007117157687137,4,1000
rho_lat_c,Ethiopia,6.0923590660095215,6.392362235248089,1.8156210932964207,3.780128240585327,9.152332305908203,1.0016341420718764,2365.6635612635037,1579.1190259911327,4,1000
rho_lat_c,Malawi,-6.703956842422485,-6.989737266361713,1.6959012066412165,-9.329113960266113,-4.5091938972473145,1.0010568642557345,1928.6110446066725,1494.535350564881,4,1000
rho_lat_c,Mali,6.31345796585083,6.620319867253303,1.7519585388516665,4.289802074432373,9.208489418029785,1.0022499230233366,2171.622202100603,1610.5192298657632,4,1000
rho_lat_c,Nigeria,4.1589195728302,4.631279609024524,1.991559474266196,1.9546408653259277,7.321563243865967,1.0067451081189511,1170.7350026635618,1567.4878299594875,4,1000
rho_lat_c,Tanzania,-6.749284505844116,-6.166146701792255,3.6128118776777147,-14.141504287719727,-4.179236888885498,1.2511923161916942,13.659445627819808,1578.7441818924017,4,1000
rho_lat_c,Uganda,3.2749372720718384,1.8604375121295451,5.271208830620812,-8.618280410766602,7.758254051208496,1.3498174054887078,9.076171303093734,,4,1000
lb_c,Ethiopia,-2.6389999389648438,-2.6392342299818994,0.03697181042979589,-2.700914144515991,-2.584012746810913,1.0043100792490252,3588.706812191731,2341.0418280976496,4,1000
lb_c,Malawi,-3.1222493648529053,-3.123802945971489,0.07293326100260383,-3.242070436477661,-3.0091540813446045,1.000411937402312,3119.3086732649326,2267.0919262127604,4,1000
lb_c,Mali,-0.8508370220661163,-0.850829567193985,0.026389283217930604,-0.8907947540283203,-0.8076566457748413,1.0007222651757444,3317.472747971766,2689.244266418395,4,1000
lb_c,Nigeria,-0.1206936351954937,-0.12220627133175731,0.022212317352264522,-0.15818288922309875,-0.08695191144943237,1.0032889025779277,1758.823576895267,1104.644294992355,4,1000
lb_c,Tanzania,-3.0063618421554565,-3.0421753400564193,0.23012260757551745,-3.231966257095337,-2.7904202938079834,1.1010994689190248,24.84155898652598,13.475584978474831,4,1000
lb_c,Uganda,-2.6158509254455566,-3.032344015985727,1.0267511308459694,-4.618716716766357,-2.0315470695495605,1.348111063639234,9.090106678392054,,4,1000
